project,location,sampler,year,month,day,sample.numbers,sexes,gear,tow or trap number,vessel,depth,latitude,longitude,comment
Snow crab fecundity,Cape Breton,,1986,7,23,,,trawl or trap,,,,,,
Snow crab fecundity,Cape Breton,Michel Comeau; Pierre Mallet,1986,8,13,206 to 236,,Nephrops trawl,1,,,,,
Snow crab fecundity,Cape Breton,Michel Comeau; Pierre Mallet,1986,8,13,121 to 205,,Nephrops trawl,2,,,,,
Snow crab fecundity,Cape Breton,Michel Comeau; Pierre Mallet,1986,8,13,247 to 277,,beam trawl,1,,,,,
Snow crab fecundity,Cape Breton,Michel Comeau; Pierre Mallet,1986,8,14,1 to 28,,beam trawl,2,,,,,
Snow crab fecundity,Prince Edward Island,Mikio Moriyasu,1986,5,31,,, ,,,35 fathoms,14679,29933,
Snow crab fecundity,Baie-des-Chaleurs,Pierre Mallet; Mikio Moriyasu,1986,4,29,1 to 96,,,,,,,,Centre Marin Shippagan; Caught during Carlos G sampling
Snow crab fecundity,Baie-des-Chaleurs,Pierre Mallet,1986,7,21,1 to 227,,,,,,,,Centre Marin
Snow crab fecundity,Baie-des-Chaleurs,Michel Comeau; Pierre Mallet,1986,10,21,1 to 29,,Nephrops trawl,,,46 fathoms,480148.2,644558.7,
Snow crab fecundity,Baie-des-Chaleurs,Michel Comeau; Pierre Mallet; Mikio Moriyasu,1986,10,23,30 to 58,,Nephrops trawl,2,,46 fathoms,,,
Snow crab fecundity,Baie-des-Chaleurs,Michel Comeau; Pierre Mallet; Mikio Moriyasu,1986,10,28,repeats,,Nephrops trawl,,,46 fathoms,,,
Snow crab fecundity,Baie-des-Chaleurs,Michel Comeau; Pierre Mallet,1986,10,29,7 to 32,,Nephrops trawl,,,,,,
Snow crab fecundity,Prince Edward Island,Mikio Moriyasu,1987,7,7,1 to 33,,,,,,,,PEI Zone 26
Snow crab fecundity,Western Bradelle Bank,Pierre Mallet,1987,6,24,,,,,,,,,Trip avec Cyranus
,Baie-des-Chaleurs,,1987,9,23,B1-B470,male and female,,,CCGS Opilio,,,,Centre Marin?
,Baie-des-Chaleurs,,1987,9,30,C1-C401,male and female,trawl,,CCGS Opilio,,,,Lab study? 2e journee de chalutage
,Baie-des-Chaleurs,,1987,10,5,D1-D197,male and female,trawl,,CCGS Opilio,,,,3e journ‚e de chalutage
,Baie-des-Chaleurs,,1987,10,6,D198-420,male and female,trawl,,CCGS Opilio,,,,4e sortie?
,Baie-des-Chaleurs,,1987,10,8,E1-E110,male and female,,,CCGS Opilio,,,,5e sortie
,Baie-des-Chaleurs,,1987,10,9,F1-F177,male and female,,,CCGS Opilio,,,,Centre Marin?
,Baie-des-Chaleurs,,1987,10,10,~120 entries,male and female,,,CCGS Opilio,,,,Centre Marin?
,Baie-des-Chaleurs,,1987,10,12,,male and female,,,CCGS Opilio,,,,Centre Marin?
,Baie-des-Chaleurs,,1987,10,14,K1-K73,male and female,,,CCGS Opilio,,,,Centre Marin?
,Baie-des-Chaleurs,,1987,10,19,L1-L241,male and female,,,CCGS Opilio,,,,Centre Marin?
,Baie-des-Chaleurs,Pierre Mallet,1987,10,20,~140 entries ,male and female,,,CCGS Opilio,,,,Centre Marin?
