variable,description,units
date,Sampling date.,
date.measured,Measurement date.,
zone,Snow crab fishing zone.,
vessel,Sampling or fishing vessel.,
sampler,Field samplers.,
longitude,Sample location longitude.,decimal degrees
latitude,Sample location latitude.,decimal degrees
depth,Sample water depth.,meters
trap.number,Fishing trap identifier.,
start.time,Sampling start time.,
end.time,Sampling end time.,
crab.number,Crab identifier.,
sex,Sex.,
shell.condition,Shell or carapace condition code.,
carapace.width,Crab carapace width.,millimeters
chela.height,Crab claw height (males only).,millimeters
abdomen.width,Crab abdomen width (females only).,millimeters
weight,Crab weight,grams
egg.weight,Dry weight of cleaned total egg mass.,
egg.weight.sample,Dry weight of cleaned egg mass subsample.,
egg.count.sample,Number of eggs in cleaned egg mass subsample.,
egg.colour,Egg colour code.,
eggs.remaining,Percentage of eggs remaining code.,
gonad.colour,Gonad colour code.,
missing.legs,Missing leg pattern codes.,
maturity,Crab sexual maturity code.,
barnacles,Barnacle presence or abundance code.,
spiroidea,Spiroidea presence or abundance code.,
cigarette.burn,Cigarette burn shell disease presence or abundance code.,
gonad.colour.L,Colorimeter L measurement for gonad.,
gonad.colour.a,Colorimeter a* measurement for gonad.,
gonad.colour.b,Colorimeter b* measurement for gonad.,
egg.colour.L,Colorimeter L measurement for egg mass.,
egg.colour.a,Colorimeter a* measurement for egg mass.,
egg.colour.b,Colorimeter b* measurement for egg mass.,
hepato.colour.L,Colorimeter L measurement for hepatopancreas.,
hepato.colour.a,Colorimeter a* measurement for hepatopancreas.,
hepato.colour.b,Colorimeter b* measurement for hepatopancreas.,
l1,Colorimeter L measurement,
a1,Colorimeter a* measurement,
b1,Colorimeter b* measurement,
l2,Colorimeter L measurement,
a2,Colorimeter a* measurement,
b2,Colorimeter b* measurement,
l3,Colorimeter L measurement,
a3,Colorimeter a* measurement,
b3,Colorimeter b* measurement,
l4,Colorimeter L measurement,
a4,Colorimeter a* measurement,
b4,Colorimeter b* measurement,
l5,Colorimeter L measurement,
a5,Colorimeter a* measurement,
b5,Colorimeter b* measurement,
comment,General sample comment.,
comment.egg,Egg counting and measurement comment.,
