year,month,day,zone,vessel,sampler,crab.number,sex,shell.condition,carapace.width,egg.colour,eggs.remaining,gonad.colour,missing.legs,maturity,barnacles,spiroidea,comment,weight,location,sample.egg.count,sample.egg.weight,egg.weight,fecundity,egg.development
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,1,2,3,66.3,1,4,3,**********,P,*,*,*,97.7,Snow Crab Survey,500,0.0283,2.5874,45714,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,2,2,3,65.5,1,4,2,**********,P,*,*,*,97.1,Snow Crab Survey,500,0.0249,2.2721,45624,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,3,2,3,61.5,2,4,3,**********,P,*,*,*,82.3,Snow Crab Survey,500,0.0301,2.2780,37841,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,4,2,3,57.5,1,4,3,**********,P,*,*,*,64.6,Snow Crab Survey,500,0.0254,1.3884,27331,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,5,2,3,74.1,1,4,3,**********,P,*,*,*,138.1,Snow Crab Survey,500,0.0293,3.8858,66311,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,6,2,3,66.9,1,4,*,**********,P,*,*,*,91.8,Snow Crab Survey,500,0.0299,2.5495,42634,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,7,2,3,61.6,1,4,3,**********,P,*,*,*,82.3,Snow Crab Survey,500,0.0277,2.2356,40354,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,8,2,3,66.9,1,4,3,**********,P,*,*,*,103.7,Snow Crab Survey,500,0.0282,2.2279,39502,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,9,2,3,65.7,1,4,3,**********,P,*,*,*,96.5,Snow Crab Survey,500,0.0276,2.5898,46917,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,10,2,3,72.6,1,4,4,**********,P,*,*,*,130,Snow Crab Survey,500,0.0254,3.1039,61100,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,11,2,3,73.6,1,4,3,**********,P,*,*,*,138.3,Snow Crab Survey,500,0.0257,3.1065,60438,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,12,2,3,69.1,1,4,4,**********,P,*,*,*,110.2,Snow Crab Survey,500,0.0280,3.0611,54663,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,13,2,3,64.2,1,4,3,***1******,P,*,*,*,93.6,Snow Crab Survey,500,0.0295,2.3780,40305,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,14,2,3,62.8,2,4,3,**********,P,*,*,*,85.9,Snow Crab Survey,500,0.0276,2.1907,39687,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,15,2,3,61.9,1,4,4,*****7***7,P,*,*,*,84.7,Snow Crab Survey,500,0.0262,2.2340,42634,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,16,2,3,60.8,2,4,3,********1*,P,*,*,*,75.6,Snow Crab Survey,500,0.0277,1.8409,33229,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,17,2,3,66.5,1,4,4,**********,P,*,*,*,104.7,Snow Crab Survey,500,0.0278,2.9602,53241,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,18,2,3,67.7,1,4,4,**********,P,*,*,*,97.1,Snow Crab Survey,500,0.0270,2.6792,49615,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,19,2,3,67.6,1,4,4,**********,P,*,*,*,121.1,Snow Crab Survey,500,0.0305,2.6097,42782,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,20,2,3,57.8,1,4,*,********22,P,*,*,*,62.6,Snow Crab Survey,500,0.0289,1.5800,27336,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,21,2,3M,63.5,1,4,4,**********,P,*,*,*,93.2,Snow Crab Survey,500,0.0270,2.2204,41119,*
2015,10,15,19,JEAN MATHIEU,R.ALLAIN M.MORIYASU R.CORMIER,22,2,3,62.8,2,4,3,**********,P,*,*,*,95.1,Snow Crab Survey,500,0.0289,2.4261,41974,*
