crab.number,year,month,day,zone,location,vessel,missing.legs.left,missing.legs.right,shell.condition,maturity,carapace.width,abdomen.width,weight,egg.colour,egg.development,gonad.colour,eggs.remaining,egg.weight,sample.egg.count,sample.egg.weight,fecundity,comment
15,2012,8,17,12,Bradelle Bank,Marco Michel,"1,3",,4,M,62.22,43.33,92.2,OF,1-3,O,100,2.5613,561,0.0309,46501,
16,2012,8,17,12,Bradelle Bank,Marco Michel,,,2,P,44.18,28.60,32.4,OC,6,O,75,0.5883,656,0.0302,12779,
17,2012,8,17,12,Bradelle Bank,Marco Michel,3,,2,P,61.64,42.54,78.9,OF,7,O,50,,,,#DIV/0!,
18,2012,8,17,12,Bradelle Bank,Marco Michel,,,3M,M,58.21,41.71,80.6,OF,1-3,O,50,,,,#DIV/0!,
19,2012,8,17,12,Bradelle Bank,Marco Michel,2,2,2,P,62.73,42.98,95.1,OF,1-3,O,100,1.7626,570,0.0308,32620,"2 pleo in cup only,  sampler removed pleopods before drying eggs "
20,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,61.42,39.95,78.5,OF,7,O,50,1.8044,547,0.0307,32150,
21,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,57.54,39.62,70.7,OF,8,O,75,2.2111,573,0.0306,41404,
22,2012,8,17,12,Bradelle Bank,Marco Michel,2H,,3,P,63.00,41.32,82.9,OF,3,O,75,2.4330,510,0.0310,40027,
23,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,57.32,38.42,63.8,OF,7,O,50,1.3279,630,0.0309,27074,
24,2012,8,17,12,Bradelle Bank,Marco Michel,,,4,M,55.69,40.01,75.6,OF,1-3,O,100,,,,#DIV/0!,
25,2012,8,17,12,Bradelle Bank,Marco Michel,4H 5H,,3,P,53.12,34.01,52.7,OF,7,O,50,,,,#DIV/0!,
26,2012,8,17,12,Bradelle Bank,Marco Michel,2R,,3,P,46.49,30.94,43.2,OF,1-3,O,50,0.6672,692,0.0302,15288,
27,2012,8,17,12,Bradelle Bank,Marco Michel,,,3,P,48.09,32.43,44.4,OF,7,O,50,0.9169,542,0.0301,16510,
28,2012,8,17,12,Bradelle Bank,Marco Michel,"4,5R",5,3,P,43.64,28.50,27.2,OF,4,O,50,,,,#DIV/0!,
29,2012,8,17,12,Bradelle Bank,Marco Michel,,"3,5",3,P,61.31,40.06,69.4,OF,6,OC,25,1.5305,570,0.0309,28233,Dry eggs
