Date Sampled,Start Time,End Time,Date Measured,Zone,Location,Vessel,Sampler,Latitude,Longitude,Depth,Trap #,Crab #,Sex,Shell Condition,Carapace Width,Claw Height,Abd Width,Egg Color,Hepato Color,Hepato Texture,% Eggs Remaining,Gonad Color,Egg details,Missing Legs,Maturity,Barnacles,Spiroidea,Cigarette Burn,Egg Col L,Egg Col a,Egg Col b,Gon Col L,Gon Col a,Gon Col b,Hep Col L,Hep Col a,Hep Col b,Commentaire,Crab Weight,Gonad Weight,Hepato Weight,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,2,1,F,4,76.18,*,54.73,OF,*,*,100,O,,**********,M,*,*,*,42.000,24.300,29.540,51.820,33.230,46.370,49.33,2.2,23.1,Patte Dalhousie,176,9.4557,9.5902,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,2,2,F,4,76.87,*,55.75,OF,*,*,95,Beige,,**********,M,*,*,*,38.660,21.280,25.710,52.000,15.550,33.250,36.89,2.87,11.64,Patte Dalhousie,162.4,3.399,10.0566,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,2,3,F,4,78.74,*,54.71,OF,*,*,95,O,,**********,M,*,*,*,39.960,23.840,28.040,48.900,33.530,43.080,48.41,3.91,21.94,Patte Dalhousie,178.8,6.0916,11.5856,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,2,4,F,4,69.55,*,46.99,OF,*,*,100,O,,**********,M,*,*,*,39.660,22.350,25.950,49.660,33.770,43.920,40.37,3.46,13.08,Patte Dalhousie,128.6,6.6086,8.0347,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,5,F,4,67.27,*,48.37,OF,*,*,95,O,,********1*,M,*,*,*,36.620,20.640,22.170,52.490,30.360,45.720,50.19,2.22,21.5,Patte Dalhousie,102.8,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,6,F,4,74.24,*,51.55,OF,*,*,95,OC,,**********,M,*,*,*,36.240,23.750,22.250,53.730,23.830,36.270,40.06,6.88,19.36,Patte Dalhousie,148.1,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,7,F,4,67.82,*,48.65,OF,*,*,90,OC,,**********,M,*,*,*,36.270,23.800,23.730,55.910,15.650,29.790,35,4.1,9.44,Patte Dalhousie,117.8,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,8,F,3.8,53.91,*,38.07,OF,*,*,100,O,,*******1**,M,*,*,*,40.630,26.640,30.340,50.300,35.330,44.850,43.25,4.45,18.65,Patte Dalhousie,60.9,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,9,F,4,54.12,*,39.24,OF,*,*,100,O,,**********,M,*,*,*,39.980,24.480,30.420,48.930,34.330,42.920,41.99,3.18,16.47,Patte Dalhousie,62.2,*,*,,
13052018,10:00,*,14052018,12,Baie-des-Chaleurs,CCGS Perley,R.ALLAIN/K.LANDRY/M.MORIYASU,4753.841,6505.007,81m,1,10,F,4,77.3,*,53.25,B,*,*,100,O,,**********,M,*,*,*,29.530,8.020,2.770,48.020,27.110,38.150,37.27,3.6,12.82,Patte Dalhousie,169.4,*,*,,
