Data ,Before,After,Moult,"Moult I: moulted to immature, M: Moulted to maturity"
,37.8,47.6,I,
page 20,51.4,51.6,M,
,57.6,63,M,eggs extruded
,41.1,53.6,I,
,41.5,46.8,I,
,38.4,46.1,I,
,45.6,56.2,I,
,39,49.1,I,
,41.6,51.9,I,
,47,55.7,I,
,41.3,51.2,I,
,44.5,49.3,I,
,42,51.7,I,
,45,55.9,I,
,47.3,56.4,I,
,40.7,50,I,
,44.1,55.6,I,
,55.3,62.3,M,
,51.3,59,M,
,40.1,46.6,I,
,40.4,46.2,I,
page 19,46,52,M,
,38.5,47.8,I,
,39.4,50,I,
,43,49.8,I,
,42.1,52,I,
,42.5,51.6,I,
,47,57.9,I,
,42.7,52.7,I,
,47.6,57.7,I,
,43.6,51.8,I,
,45.3,57.8,I,
,41.8,50.6,I,
,38.5,47.2,I,
,38.6,45.8,I,
,64.9,72.8,M,
page 18,46,56.5,I,
,58.6,66.1,M,
,41,50.9,I,
,44.2,53.8,I,
,43.4,50,I,
,33.6,42.4,I,
,42.7,54.5,I,
,55,60.8,M,
,41.5,47.8,I,
,25.2,31.4,I,
,42.8,53,I,
,42.1,47.9,M,
,62.6,69.4,M,
,61.4,63.3,M,
page 17,42.9,52.9,I,
,39.4,52,I,
,59.4,64.2,M,
,31.4,38.9,I,
,39.6,45.9,I,
,56.9,63.3,M,
,44.8,55.7,I,
,44.9,55,I,
,38.8,47.4,I,
,41.6,52.2,I,
,56.4,62.3,M,
,32.4,40.9,I,
,60.3,68.9,M,
,56.8,64.1,M,
page 16,37.5,47,I,
,41.6,51.9,I,
,42,53.2,I,
,43.2,53.4,M,
,54,61.5,M,
,54.8,62.6,M,
,41.2,51.5,I,
,46,57.4,I,
,40.1,51.2,I,
,41.5,51.2,I,
,42.9,52.7,I,
,41,52.8,I,
,40.5,46.9,I,
,38.7,48.2,I,
,40,51.3,I,
,41,50.2,I,
,41.2,53.7,I,
,45.5,56.2,I,
,38,51.3,I,
,37.9,48.5,I,
page 15,43.4,53.8,I,
,39.9,49.3,I,
,44.6,55.3,I,
,53.8,62.8,M,
,54.2,62.7,M,
,49.7,59.7,I,
,68,73.8,M,morte après la mue
,45,55.1,I,
,31.8,39.5,I,
,39.4,42.2,I,
,43.8,56.1,I,
,47.1,58.3,I,
,41,51.6,I,
,54.4,63,M,
,59.9,67.6,M,
,63.6,69.6,M,
,47.4,57.6,I,
page 14,58.1,65.4,M,
,41.7,50.4,I,
,59.8,66.2,?,morte mangee
,56.2,63.2,M,
,56.5,62.8,M,
,42.3,53.6,I,
,61.5,67.6,M,
,42.3,51.9,I,
,56.1,63.5,M,
,64.8,71.8,M,
,33.9,43.8,I,
,68.4,78.7,M,
,60.2,68,M,
,70.4,73.3,M,morte apres mue
,41.4,51,I,
,46.1,55.8,I,
,60.2,63.2,M,
,43.1,52.1,I,
,55.6,63.8,M,
page 13,59.7,66.8,M,
,59.7,67.7,M,
,56,63.8,M,
,40.7,47.6,I,
,40.3,51.6,I,
,43.3,53.2,I,
,43.3,46.8,I,morte trop faible
,41.1,47,I,
,42.4,51.6,I,
,44.2,49.6,I,
,64.3,75.8,M,
,54.7,59.4,M,
,55.5,63.5,M,
,54.6,61.3,M,
,41.1,45.6,I,
,40.6,50,I,
page 12,39.9,50.4,I,
,36.8,46.1,I,
,33.8,44.4,I,
,48.4,52.4,M,
,48.1,51.8,I,morte en muant
page 11,43.1,54.8,I,
,39.8,48.6,I,
,26.9,31.6,I,mort
,41.8,47.4,I,morte
,41.6,51.8,I,
,44,55.2,I,
,40.4,52,I,
,38.6,46.9,I,
,57,65.5,M,
,42.1,47.8,I,
,42.1,51.3,I,
,44.5,52.1,I,
,43.3,54.6,I,
,43,48.1,I,
,47,60.6,M,
,59.6,67.6,M,
,56.3,61.8,M,
,38,46.4,I,
,38.9,49,I,
page 10,35.5,41.5,I,
,36.2,47.5,I,
,48.8,60.7,I,
,41.6,52.3,I,
,38.2,44.3,I,
,47.9,54.9,M,
,60.2,67.9,M,
,54.3,61.7,M,
,54.8,60.4,M,
,52.9,60.2,M,
,58,64.3,M,
,63.2,65.3,M,morte mangee
,62.7,69.9,M,
,69.2,41.4,M,morte mangee
,45.6,52.2,M,
,43.1,48.3,M,morte mangee
page 9,45.2,47,M,morte mangee
,42.7,52.3,I,
,43.4,51.9,I,
,57.7,65.6,M,
,64.8,71.4,M,
,40.5,50.5,I,
,60.4,67.9,M,
,56.5,63.5,M,
,60.3,68.8,M,
,59.7,67.6,M,
,43.8,53.4,I,
,46.5,54,I,
,47.9,54.9,M,
,49.6,57.4,M,
,39.9,50.8,I,
,41.3,50.5,I,
,41.5,52.4,I,
,46.3,52.9,M,
page 8,46,55.6,I,
,45.2,50.8,M,
,64.6,72.6,M,
,40,52,I,
,62.1,68.5,M,
,67.4,75.8,M,
,56.7,65.6,M,
,41.7,51.2,I,
,26,32.2,I,
,53.6,60.2,M,
,54.8,62.4,M,
,56.6,64.5,M,
,28.8,38.6,I,
,59.4,68.8,M,
,54.8,59.6,M,
,68.6,77.4,M,
,53.2,60.2,M,
,51.4,57.4,M,
,55.3,63.1,M,
