sampler,project,vessel,location,year,month,day,crab.number,maturity,carapace.width,sex,weight,egg.colour,shell.condition,missing.legs,abdomen.width,egg.weight,egg.sample.number,egg.sample.weight,fecundity
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A72,m,52,2,47,o,o,x1xxxxxxxx,38,1.4343,1000,741,19356
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A73,m,58,2,78,br,o,xxxxxxxxxx,40,3.0639,1000,674,45458
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A74,m,58,2,76,br,o,xxxxxxxxxx,43,2.7893,1000,643,43379
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A75,m,55,2,54,o,o,xxxxxxxx11,39,2.3255,1000,739,31468
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A76,m,74,2,138,o,o,xxx1xxxxxx,53,4.2289,1000,734,57614
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A77,m,52,2,56,o,o,xxxxxxxxxx,37,2.6259,1000,717,36623
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A78,m,51,2,48,o,o,xxxxxxxxxx,36,1.9376,1000,674,28747
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A79,m,57,2,72,br,o,xxxxxxxxxx,40,2.6592,1000,673,39512
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A80,m,64,2,88,br,o,x1x1xxxxxx,43,2.9923,1000,664,45064
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A81,m,54,2,62,o,o,xxxxxxxxxx,38,2.1847,1000,611,35756
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A82,m,54,2,46,o,o,xxxxxxxxx1,37,1.7995,1000,743,24219
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A83,m,59,2,84,br,o,xxxxxxxxxx,42,2.9672,1000,671,44220
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A84,m,61,2,86,o,o,xxxxxxxxxx,43,1.7211,1000,620,27759
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A85,m,57,2,63,br,o,xxxxxxxxxx,38,2.2095,1000,602,36702
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A86,m,60,2,82,o,o,xxxxxxxxxx,41,2.0514,1000,719,28531
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A87,m,53,2,58,br,o,xxxxxxxxxx,39,2.5829,1000,641,40294
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A88,m,64,2,94,br,o,xx1xxxxxxx,46,3.6214,1000,665,54457
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A89,m,49,2,52,br,o,xxxxxxxxxx,36,1.9868,1000,637,28919
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A90,m,72,2,144,br,o,xxxxxxxxxx,48,4.9223,1000,700,70318
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A91,m,50,2,45,br,o,x1xxxxx11x,34,1.4634,1000,629,23265
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A92,m,75,2,436,o,o,xx1xxxxxx1,51,2.1145,1000,621,34049
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A93,m,54,2,50,o,o,x1xxxxx11x,49,,1000,,
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A94,m,62,2,90,br,o,xxxxxxxxx1,44,3.0967,1000,708,43738
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A95,m,76,2,140,o,o,xxx1xxxxxx,52,4.0265,1000,667,60367
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A96,m,55,2,57,br,o,xxxxxxx1xx,41,1.9747,1000,615,32108
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A97,m,60,2,82,br,o,xxxxxxxxxx,43,2.8795,1000,665,43300
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A98,m,70,2,120,br,o,xxxxxxxxxx,51,4.6723,1000,677,69014
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A99,m,61,2,92,br,o,xxxxxxxxxx,44,3.4171,1000,698,48955
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A100,m,52,2,47,br,o,x1xxxxxxxx,38,1.9247,1000,692,27813
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A101,m,78,2,166,br,o,xxxxxxxxx1,58,4.6287,1000,727,63668
