sampler,project,location,gear,tow.number,year,month,day,crab.number,carapace.width,sex,shell.condition,maturity,chela.length,chela.height,missing.legs,abdomen.width,fecundity,comment
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,121,34,1,n,,9,4,xxxxxxxxxx,8,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,122,38,2,n,,5,,xxxxxxxxxx,15,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,123,35,2,n,,4,,xxxxxxxxxx,14,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,124,45,2,n,,6,,xxxxxxxxxx,20,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,125,30,1,n,,13,6,xxxxxxxxxx,,,hyas 
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,126,41,2,n,,8,,xxxxxxxxxx,28,,hyas 
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,127,50,2,n,,10,,xxxxxxxxxx,34,,hyas 
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,128,49,2,n,,10,,xx11xxxx11,34,,hyas 
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,129,54,2,n,,7,,xxxxxxxxxx,23,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,130,23,2,n,,6,,xxxxxxxxxx,22,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,131,53,2,n,,6,,xxxxxxxxxx,24,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,132,52,2,n,,7,,xxxxxxxxxx,25,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,133,51,2,n,,6,,xxxxxxxxxx,26,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,134,53,2,n,,6,,xxxxxxxxxx,24,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,135,61,2,n,p,7,,xxxxxxxxxx,40,7457,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,136,59,2,n,p,7,,xxxxxxxxxx,39,29491,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,137,53,2,n,,7,,xxxxxxxxxx,25,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,138,37,2,n,,5,,xxxxx1xxxx,14,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,139,53,2,n,,7,,xxxxxxxxxx,26,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,140,51,2,n,,6,,xxxxxxxxxx,23,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,141,51,2,n,,6,,xxxxxxxxxx,23,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,142,49,2,n,,6,,xxxxxxxxxx,23,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,143,56,2,n,,7,,xxxxxxxx1x,28,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,143,61,2,n,,8,,xxxx1xxxxx,42,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,Nephrops trawl,2,1986,8,13,144,53,2,n,,6,,xxxxxxxxxx,24,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,175,66,2,o,m,8,,xxxxxxxxxx,46,45133,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,176,67,2,n,p,8,,xxxxxxxxxx,44,39705,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,177,49,2,n,,12,6,xxxxxxxxxx,22,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,178,49,2,n,,6,,xxxxxxxxxx,22,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,179,63,2,n,p,8,,xxxxxxxxxx,42,31638,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,180,49,2,n,,6,,xxxxxxxxxx,23,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,181,61,2,o,m,7,,xxxxxxxxxx,42,43127,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,182,49,2,n,,6,,xxxxxxxxxx,23,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,183,59,2,n,,7,,xxxxxxxxxx,27,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,184,51,2,n,,7,,xxxxxxxxxx,23,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,185,51,2,n,,6,,xxxxxxxxxx,24,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,186,57,2,n,,7,,xxxxxxxxxx,26,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,187,52,2,n,,7,,xxxxxxxxxx,25,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,188,48,2,n,,6,,xxxxxxxxxx,21,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,189,43,2,n,,6,,1x11x2x2xx,18,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,190,48,2,n,p,6,,xxx2xxxxxx,33,16095,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,191,65,2,n,p,8,,xxxx1xxxxx,45,33241,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,192,50,2,n,p,6,,xxxxxxxxxx,36,15748,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,193,63,2,n,p,8,,xxxxxxxxxx,45,38164,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,194,36,2,n,,5,,x1xxxxxxxx,15,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,195,64,2,n,p,7,,xxxxxxxxxx,44,33850,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,196,46,2,n,,5,,xxxxxxxxxx,22,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,197,83,1,o,,37,18,1xxxxxxxxx,21,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,198,58,1,n,,19,9,xxxxxxxxxx,16,,
Pierre Mallet; Michel Comeau,Snow crab fecundity,Cape Breton,,2,1986,8,13,199,54,1,n,,18,7,xxxxxxxxxx,13,,
