year,month,day,sample,zone,location,vessel,sampler,crab.number,sex,shell.condition,carapace.width,abdomen.width,egg.colour,eggs.remaining,fecundity,egg.development,gonad.colour,egg.comment,missing.legs,maturity,barnacles,egg.colour.L,egg.colour.a,egg.colour.b,gonad.colour.L,gonad.colour.a,gonad.colour.b,hepato.colour.L,hepato.colour.a,hepato.colour.b,comment,weight,gonad.weight,hepato.weight
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",1,2,4,70.74,48.4,0F,75,60204.02786,7,O,*,********1*,M,*,40.36,22.29,25.46,54.04,31.38,43.69,45.22,3.97,16.63,*,4.28,6.2398,8.4076
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",2,2,4,55.73,39.48,0F,75,43707.12787,6,O,*,**********,M,*,42.02,26.27,29.56,54.93,33.83,47.28,52.6,2.96,23.43,*,2.59,3.5004,4.7044
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",3,2,4,68.49,46.22,0F,75,60661.17647,6,OF,*,**********,M,*,40.47,22.53,26.55,52.54,31.45,43.13,47.14,3.69,20.29,*,4.37,6.8615,9.7549
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",4,2,4,75.85,53.6,0F,75,86754.82085,7,O,*,**********,M,*,41.71,21.29,27.5,54.94,29.64,45.94,45.93,4.46,18.61,*,6.39,7.9381,12.82
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",5,2,4,55.53,39.5,0F,75,35325,7,O,*,**********,M,*,40.55,21.2,25.53,53.92,32.34,45.66,53.51,4.34,23.32,*,2.57,3.9371,5.44
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",6,2,4,58.38,40.95,0F,50,41499.82432,nf,Beige,Point rouge sur gonade,*1*1*1****,M,*,47.3,31.41,38.87,60.38,7.01,17.29,38.38,4.76,12.76,*,2.51,0.9346,4.0212
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",7,2,3,66.99,46.55,0F,100,67619.52349,7,O,*,**********,M,*,44.65,22.69,32.29,53.02,35.67,46.6,48.05,3.76,20.79,*,4.63,7.2818,9.4049
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",8,2,3,64.62,45.94,0F,75,54666.06186,*,O,*,**********,M,*,40.78,24.77,28.14,51.39,33.67,44.51,45.78,3.49,18.08,*,4.04,6.6892,7.6726
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",9,2,4,70.26,49.77,0F,100,74396.77116,8,O,*,**********,M,*,42.81,19.5,26.75,54.14,28.36,44.96,46.86,3.94,19.78,*,5.29,9.2529,8.2967
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",10,2,4,69.72,48.04,0F,75,61640.84887,8,O,*,**********,M,*,40.25,19.38,25.93,54.38,26.34,43.71,46.09,4.24,20.35,*,4.73,4.9414,9.2759
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",11,2,3,57.87,42.18,OC,100,45154.71717,nf,OC,*,**1*******,M,*,49.59,25.15,39.98,55.64,14.44,23.45,49.53,3.96,25.83,*,2.74,1.2338,5.1045
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",12,2,4,59.64,42.9,0F,100,49157.45223,9,O,*,**********,M,*,38.82,23.42,24.71,52.93,33.83,44.86,49.45,4.68,27.55,*,3.25,4.8738,5.6666
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",13,2,4,66.4,48.36,OC,75,66197.65432,nf,Beige,*,**********,M,*,50.73,28.96,43.05,52.62,6.17,15.56,51.12,3.66,24.84,*,4.11,1.5672,7.2662
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",14,2,3,66.42,44.56,OC,100,61479.37942,nf,OC,*,**********,M,*,48.95,23.49,38.28,57.36,13.2,21.08,51.75,4.7,23.3,*,4.31,1.8493,7.6193
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",15,2,4,69.23,47.4,0F,100,70114.96296,6,O,*,**********,M,*,40.26,23.55,27.32,53.02,33.63,45.64,47.97,3.02,20.3,*,4.74,7.3788,8.9739
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",16,2,4,67.45,44.1,0F,50,38375.15924,7,O,*,******1*1*,M,*,39.15,21.26,26.05,53.16,30.9,44.78,43.45,4.73,14.63,*,3.79,3.9517,8.3057
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",17,2,4,53.14,36.9,0F,100,39640.48,8,O,*,*****1****,M,*,40.2,22.04,25.66,51.69,32.65,40.88,50.48,3.92,20.44,*,2.7,3.716,4.5969
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",18,2,3,64.47,46.01,0F,100,56065.40694,7,O,*,**********,M,*,39.95,20.47,25.28,54,34.09,46.11,49.1,4.09,21.26,*,4.5,6.7358,8.8742
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",19,2,4,56.76,41.04,0F,100,36066.80132,7,O,*,**********,M,*,41.2,24.72,27.82,52.52,35.96,44.68,51.49,4.2,25.94,*,3.08,4.068,5.4272
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",20,2,4,58.19,40.72,0F,100,46801.67785,6,O,*,**********,M,*,40.23,20.48,24.67,56.07,33.33,49.26,52.14,3.06,23.48,*,3.39,5.6985,4.9304
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",21,2,3,56.95,39.62,OF,100,47736.22785,8,O,*,*********2,M,*,39.12,22.87,25.39,54.23,32.86,46.19,53.52,2.72,26.33,*,3.01,5.3022,5.3598
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",22,2,4,51.35,36.21,OC,100,36016.58621,nf,OC,*,**********,M,*,45.62,23.62,34.43,58.56,12.51,20.12,44.39,2.94,16.43,*,2.2,0.9202,3.5208
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",23,2,4,63.46,45.08,OF,100,66265.64856,7,O,*,*1*******1,M,*,39.37,21.16,25.81,52.45,29.28,40.41,45.46,3.89,18.47,*,3.77,6.0251,7.2445
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",24,2,3,57.99,39.06,OC,100,50289.43345,nf,Beige,*,**1*******,M,*,51.13,30.56,44.02,58.83,7.52,16.43,51.69,6.24,25.71,*,2.58,1.0406,4.3099
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",25,2,4,61.46,41.71,OF,100,50773.24149,8,O,*,****1*****,M,*,41.38,20.94,27.17,52.44,34.2,45.2,51.31,3.97,24.22,*,3.89,5.5732,6.9124
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",26,2,3,67.63,48.05,OC,100,70184.8959,nf,OC,*,**********,M,*,49.84,24.02,39.11,59.21,14.5,28.51,52.56,6.55,27.93,*,4.25,2.1716,8.7688
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",27,2,3,55.69,39.02,OC,75,40577.65432,nf,OC,*,**********,M,*,49.54,19.99,36.83,57.69,8.67,20,49.84,2.63,22.82,*,2.84,1.1944,4.733
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",28,2,4,59.77,40.83,OF,100,48661.04651,8,O,*,**********,M,*,40.14,22.71,26.4,52.91,32.68,43.72,49.93,4.76,25.33,*,3.24,3.3542,6.1959
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",29,2,4,60.75,42.98,OF,100,52297.28902,7,O,*,**********,M,*,40.63,21.58,27.13,53.44,35.53,47.37,52.59,4.34,29.55,*,3.9,5.4193,5.5655
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",30,2,4,55.58,40.32,OF,100,38609.86705,7,O,*,**********,M,*,39.69,20.78,25.61,54.57,32.95,47.81,46.94,2.57,21.08,*,2.94,4.4673,4.3239
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",31,2,3,60.51,40.26,OC,100,50161.95364,nf,Beige,*,**********,M,*,49.7,25.03,40.2,59.96,5.17,15.31,43.5,6.01,18.2,*,3.49,1.2104,5.0836
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",32,2,4,62.08,43.54,OF,100,57441.00662,7,O,*,**********,M,*,39.65,22.42,27.14,54.74,34.42,48.79,51.57,3.45,26.44,*,3.81,6.183,6.0756
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",33,2,4,64.01,45.75,OF,100,55000.81849,6,O,*,**********,M,*,42.63,23.25,30.69,53.66,32.98,44.95,52.71,3.39,19.98,*,4.36,5.414,8.3662
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",34,2,3,57.71,39.83,OC,75,44893.13393,nf,Beige,*,**********,M,*,52.74,25.37,43.16,61.9,6.8,17.75,0.27,3.7,25.81,*,2.75,1.0669,5.4869
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",35,2,4,56.86,40.74,OF,75,32829.52077,7,O,Point rouge sur gonade,**********,M,*,39.23,25.06,26.46,53.04,33.07,45.33,44.05,5.47,18.82,*,2.88,3.239,5.2348
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",36,2,4,62.79,43.81,OF,75,40143.20433,8,O,*,**********,M,*,38.53,22.84,24.25,53.94,33.04,47.19,50,4.09,21.23,*,3.79,4.6467,6.7325
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",37,2,3,61.44,42.55,OC,75,51060.91867,6,O,*,**********,M,*,44.51,23.58,32.72,56.85,33.78,50.86,52.19,2.91,23.04,*,3.73,5.4968,6.8587
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",38,2,4,62.74,44.74,OF,100,52727.86957,8,O,*,**********,M,*,39.35,23.67,25.47,54.43,34.72,48.44,50.77,5.56,23.04,*,3.66,6.7982,7.308
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",39,2,4,59.88,42.03,OF,100,54594.78997,6,O,*,**********,M,*,40.84,23.54,29.13,55.98,35.06,49.42,51.8,1.83,18.54,*,3.37,4.9588,6.2549
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",40,2,4,68.15,48.24,OF,100,68898.95652,6,O,*,**********,M,*,41.7,24.01,31.09,54.93,34.52,48.91,48.52,2.72,21.62,*,4.73,7.1225,8.4263
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",41,2,4,58.85,42.47,OF,100,45227.63958,8,O,*,**********,M,*,40.54,22.43,27.37,52.96,34.32,46.44,*,4.45,23.43,*,3.27,5.1849,5.6719
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",42,2,4,56.07,36.73,OF,100,35994.6,7,O,*,**********,M,*,40.74,21.24,26.99,*,*,*,*,*,*,*,2.71,3.0532,5.0998
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",43,2,4,71.89,49.49,COCOON,*,#DIV/0!,*,O,*,**********,M,*,*,*,*,53.37,37.88,46.56,41.53,5.37,12.97,*,4.58,6.9685,10.687
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",44,2,3,51.8,38.86,OC,100,32217.59211,nf,Beige,*,**********,M,*,53.95,24.75,45.32,63.74,5.46,19.52,44.58,1.83,15.77,*,2.15,0.6662,2.6787
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",45,2,4,58.75,40.28,OF,100,37905.09898,6,O,*,**********,M,*,39.76,24.31,27,53.73,34.86,47.88,49.85,6.21,25.92,*,2.93,3.8957,6.327
2019,6,11,live,12,Baie des Chaleurs,CCGS M.Perley,"Allain, Moriyasu, JFLandry, KLandry, Larocque",46,2,4,59.17,42.07,OC,75,42100.95238,nf,Beige,Point rouge sur gonade,**********,M,*,51.46,30.32,43.75,58.8,9.9,20.43,52.93,5.53,30.77,*,2.83,1.1435,3.7959
