Date,Zone,Vessel,Sampler,Latitude,Longitude,Depth,trap.number,start.time,end.time,crab.number,Sex,shell.condition,carapace.width,chela.height,egg.colour,eggs.remaining,gonad.colour,missing.legs,Maturity,Barnacles,Spiroidea,cigarette.burn,L1,a1,b1,L2,a2,b2,L3,a3,b3,L4,a4,b4,L5,a5,b5,Commentaire,weight
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,1,1,3M,125.3,32,*,*,*,**********,*,*,*,*,42.59248696,5.827290392,15.47917261,57.62854548,-0.53018812,13.87793637,62.45356966,-5.019755017,4.846346428,51.95346606,-1.953302261,5.636823228,63.02923306,-2.12936892,8.008352454,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,2,1,3M,124.3,32.4,*,*,*,**********,*,1,*,*,42.26328305,5.213004601,10.94921147,59.28864035,-0.458168829,14.23613353,64.25149416,-3.096304598,7.332501368,54.28283447,-3.165206385,4.526386076,62.44596094,-1.948501575,10.77382965,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,3,1,3M,122.8,30.2,*,*,*,*****1****,*,1,1,*,43.53213078,7.357628325,14.09878945,46.53852798,6.1765987,16.22712968,59.89596521,4.284406638,13.50232792,52.13663296,0.684637701,6.510313841,56.75344683,1.514093872,18.04815568,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,4,1,3M,97.5,22.7,*,*,*,**********,*,*,*,*,40.83855057,7.727835704,11.79448858,57.82763565,1.189235852,9.098793003,59.01688107,-2.341580342,5.691021122,46.03156703,1.944098905,2.704175202,57.66308045,-1.996512035,8.014812241,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,5,1,3M,115.4,27.3,*,*,*,*1*****7**,*,*,*,*,47.11716976,7.76774572,18.68894542,62.83046486,-0.097704943,14.11558503,53.5397998,-1.144281133,6.285834785,47.30468241,3.831973153,5.468901968,62.12078996,-2.080098494,8.76857215,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,6,1,3M,139.2,35.7,*,*,*,**********,*,1,*,*,46.02886259,6.539654007,11.09463954,55.82854835,2.886149804,15.74241395,63.25600756,-1.659698042,7.569613214,47.1236993,0.179826885,4.8910598,62.03116952,-0.812202325,15.2235011,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,7,1,4,131.6,32.8,*,*,*,**********,*,*,*,*,35.98044409,6.777545726,5.690468299,56.0146309,2.665976743,17.12950099,50.5735272,1.99862315,17.70623973,45.26492309,1.368182942,14.31710003,57.01105785,-1.213404747,13.71493869,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,8,1,3M,118.8,25.7,*,*,*,**********,*,*,1,*,40.32007895,8.308791694,6.983706721,59.3170844,-0.823688391,7.523693337,59.2757876,-2.08636427,7.542985281,49.5591173,-0.449322483,1.172357616,60.93928107,-2.844297083,3.629428219,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,9,1,4,122.6,31.3,*,*,*,*********1,*,1,*,*,47.05572591,7.940320949,15.90122175,56.10981424,0.612984472,13.90917324,57.66308045,-2.80088133,11.29345903,47.00464953,1.851486881,9.975217191,52.45454828,3.576406293,20.60594847,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,10,1,4,110.8,27.6,*,*,*,*1********,*,1,*,*,43.83739165,6.989654497,14.80094208,58.08163508,0.684637647,18.19466398,51.95346606,0.549559168,15.01738938,44.21571725,0.512396086,11.89282074,50.69539477,0.000384624,16.31076958,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,11,1,3M,100.4,24.7,*,*,*,**********,*,*,*,*,44.31170497,7.75461097,13.51725508,60.83101988,0.621039457,15.34093695,64.67101028,-0.824917345,10.19228289,48.76013399,-1.20405925,4.961451596,56.61458148,-0.084815746,10.65646252,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,12,1,3M,137.8,34.6,*,*,*,**********,*,1,*,*,48.99007111,7.114252974,12.55280718,61.57735475,1.238213387,14.1076909,67.89661197,-5.125326724,8.954780893,50.88899642,-1.411014937,4.911463177,64.65581694,-2.658636979,7.255203952,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,13,1,3M,111.5,25.7,*,*,*,**********,*,1,*,*,41.98607666,8.109788023,6.797943885,55.47485717,3.406802781,13.69645951,55.36060656,-1.165688578,9.355302875,47.78657569,0.265220256,7.180100172,51.73757067,1.411056827,17.66032477,*,*
9092015,19,CCGS M.PERLEY,R.ALLAIN M.MORIYASU R.CORMIER,,,*,*,18:30,20:10,14,1,3M,118.9,31.5,*,*,*,**********,*,*,*,*,45.978788,8.399156145,12.71521866,66.10678827,-0.942089174,14.7497595,62.35199838,0.188061199,9.506657203,53.20682009,-2.202847629,3.265948948,46.69246633,6.498578507,11.94509637,*,*
