Sampler ID,Process,Date Measured,Survey Tow ID,Crab #,Time (out of formalin),Abdomen Width,Abdomen Height,Combined Wet Weight,Wet Weight (egg and pleopods),Wet Weight Setaes Only,Wet Weight Abdomen (flap),Rinse Start Time,Rinse End Time,Total Weight (dry uncleaned eggs),Date of Egg Cleaning, Dry Weight (Egg Dust Only),Date Weighed (Egg Dust Only),Dry Weight (Pleopods Only),Date Weighed (Dry Pleopods Only),Dry Weight (Pleopods Plus Dust),Date Weighed (Pleopod plus Dust) ,Dry Weight 1 (clean dry eggs/Out of Oven),Number in Subsample 1,Weight of Subsample 1,Dry Weight 2 (clean dry eggs/Out of Oven),Number in Subsample 2,Weight of Subsample 2,Date Eggs Were Counted,Start Time (counting),End Time (Counting),Development Stage,WEIGHT TO ADD?,Comments 1 (rincage),Comments 2 (nettoyage), Comments 3 (development),LEGENDE
Emily & Murray 1,less clean,18/12/2019,319f,C4-14,14h35,38.82,26.14,9.6983,6.6224,0.4397,2.2850,15h05,15h38,2.1733,15/1/2020,*,*,*,*,0.0695,*,2.0901,611,0.0317,*,*,*,*,9h51,10h07,NA,,,,Bouin's Dried,
2,less clean,18/12/2019,319f,C4-14,14h35,38.82,26.14,9.6983,6.6224,0.4397,2.2850,15h05,15h38,2.1733,15/1/2020,*,*,*,*,0.0017,*,2.0879,604,0.0315,*,*,*,*,8h43,8h57,*,,,,,
Emily & Murray,*,18/12/2019,190f,151,14h37,39.61,25.69,7.6799,5.2082,0.4239,1.8378,15h17,15h52,1.8121,14/1/2020,*,*,*,*,0.0653,17/1/2020,1.7306,552,0.0352,*,*,*,23/1/2020,10h15,10h28,NA,,,salt grains,Bouin's Dried,
Emily & Murray 1,less clean,20/12/2019,140f,265,8h25,42.64,20.51,12.8817,8.4130,0.8029,3.1701,9h05,10h20,2.7090,14/1/2020,*,*,*,*,0.1357,*,2.5507,582,0.0312,*,*,*,*,10h08,10h23,9,,,salt grains,,
2,less clean,20/12/2019,140f,265,8h25,42.64,20.51,12.8817,8.4130,0.8029,3.1701,9h05,10h20,2.7090,14/1/2020,*,*,*,*,0.0033,*,2.5421,550,0.0297,*,*,*,*,8h28,8h40,*,,,,,
Murray,WBC,20/12/2019,117A1,45,8h25,42.05,26.64,10.0615,6.6762,0.3986,2.3978,9h23,10h34,2.4872,23/1/2020,*,*,*,*,0.0831,*,2.3807,579,0.0337,*,*,*,24/01/2020,10h50,11h20,6,,,salt grains,,
Murray 1,less clean &WBC,20/12/2019,119f,94,13h25,39.58,27.02,7.8811,5.2120,0.4666,2.0095,14h03,15h10,1.6546,15/1/2020,*,*,*,*,0.0813,21/1/2020,1.5598,577,0.0320,*,*,*,*,13h42,14h10,NA,,,,no sample taken,
2,less clean &WBC,20/12/2019,119f,94,13h25,39.58,27.02,7.8811,5.2120,0.4666,2.0095,14h03,15h10,1.6546,15/1/2020,*,*,*,*,0.0007,23/1/2020,1.5386,535,0.0297,*,*,*,*,10h34,11h04,*,,,,,
Murray,less clean &WBC,20/12/2019,116f,207,13h27,43.70,29.04,10.6485,7.1060,0.6474,2.5978,14h14,15h12,2.3116,14/1/2020,*,*,*,*,0.0825,21/1/2020,2.2088,531,0.0299,*,*,*,*,14h23,14h46,NA,,,,no sample taken,
Murray,less clean &WBC,20/12/2019,93A2,68,13h33,37.78,25.19,8.5371,5.8334,0.3004,1.9280,14h51,15h22,1.7659,14/1/2020,*,*,*,*,0.0577,24/1/2020,1.6744,532,0.0290,*,*,*,*,14h28,14h50,9,,missing pleopod,dropped,,
Murray 1,less clean &WBC,20/12/2019,188F,70,13h38,39.36,26.83,6.9756,4.1128,0.3825,2.2092,14h59,15h31,1.2085,15/1/2020,*,*,*,*,0.0724,21/1/2020,1.1164,630,0.0353,*,*,*,*,10h55,11h31,11,,,salt grains,,
2,less clean &WBC,20/12/2019,188f,70,13h38,39.36,26.83,6.9756,4.1128,0.3825,2.2092,14h59,15h31,1.2085,15/1/2020,*,*,*,*,0.0009,23/1/2020,1.1152,508,0.0278,*,*,*,*,8h41,9h04,*,,,,,
