"date.sampled","start.time","end.time","date.measured","zone","location","vessel","sampler","crab.number","sex","shell.condition","carapace.width","abdomen.width","egg.colour","eggs.remaining","gonad.colour","missing.legs","maturity","barnacles","spiroidea","egg.colour.l","egg.colour.a","egg.colour.b","gonad.colour.l","gonad.colour.a","gonad.colour.b","hepato.colour.l","hepato.colour.a","hepato.colour.b","comment","crab.weight","gonad.weight","hepato.weight"
"2022-05-09","13:30","15:40","2022-05-09",12,"Baie des Chaleurs","CCGS M. Perley","Allain; Moriyasu; JF; Ylarocque",1,2,"4",67.56,46.58,"light orange",100,"beige","xxxxxxxxxx","multiparous",NA,NA,54.09,25.7,36.93,62.79,2.26,13.2,49.23,4.24,20.77,"",132.4,6.272,4.981
"2022-05-09","13:30","15:40","2022-05-09",12,"Baie des Chaleurs","CCGS M. Perley","Allain; Moriyasu; JF; Ylarocque",2,2,"4",62.99,43.61,"dark orange",90,"beige","x1xxxxxxxx","multiparous",NA,NA,49.89,28.11,33.75,56.67,9.1,17.49,26.32,4.89,-3.54,"",89.1,1.6138,2.6557
"2022-05-09","13:30","15:40","2022-05-09",12,"Baie des Chaleurs","CCGS M. Perley","Allain; Moriyasu; JF; Ylarocque",3,2,"4",61.38,43.41,"dark orange",100,"beige","xx1xxxxxxx","multiparous",NA,NA,52.9,30.1,38.71,59.9,9.89,20.08,44.07,5.22,20.34,"",103.1,1.5121,3.619
"2022-05-09","13:30","15:40","2022-05-09",12,"Baie des Chaleurs","CCGS M. Perley","Allain; Moriyasu; JF; Ylarocque",4,2,"4",69.5,46.91,"dark orange",100,"orange","xxxxxxxx1x","multiparous",NA,NA,42.7,22.98,24.75,58.32,28.66,43.71,45.18,4,13.41,"",121.5,5.1282,8.1759
"2022-05-09","13:30","15:40","2022-05-09",12,"Baie des Chaleurs","CCGS M. Perley","Allain; Moriyasu; JF; Ylarocque",5,2,"4",67.82,46.19,"dark orange",100,"orange","x1xxxx1xxx","multiparous",NA,NA,41.42,26.16,22.44,56.58,30.84,42.81,45.71,12.03,24.31,"",100.9,3.7324,5.3164
"2022-05-09","13:30","15:40","2022-05-09",12,"Baie des Chaleurs","CCGS M. Perley","Allain; Moriyasu; JF; Ylarocque",6,2,"4",60.66,42.53,"dark orange",100,"beige","xxxxxxxxxx","multiparous",NA,NA,50.85,29.42,36.26,53.32,18.93,28.43,42.69,4.89,17.78,"",92.7,1.9084,3.3611
"2022-05-09","13:30","15:40","2022-05-09",12,"Baie des Chaleurs","CCGS M. Perley","Allain; Moriyasu; JF; Ylarocque",7,2,"4",69.33,48.21,"dark orange",100,"beige","xxxxxxxxxx","multiparous",NA,NA,50.56,29.01,37.28,65.11,3.03,12.77,37.99,5.22,12.21,"",135.1,1.8206,5.0403
"2022-05-09","13:30","15:40","2022-05-09",12,"Baie des Chaleurs","CCGS M. Perley","Allain; Moriyasu; JF; Ylarocque",8,2,"4",63.08,43.06,"dark orange",100,"beige","xxxxxxxxxx","multiparous",NA,NA,49.6,29.93,35.94,61.52,6.51,17.51,43.11,5.59,18.1,"",100,1.5567,3.5326
"2022-05-09","13:30","15:40","2022-05-09",12,"Baie des Chaleurs","CCGS M. Perley","Allain; Moriyasu; JF; Ylarocque",9,2,"4",77.37,56.75,"dark orange",90,"orange","xxx1xxxxxx","multiparous",NA,NA,43.64,23.33,26.97,52.63,23.45,35.91,40.45,5.82,14.73,"",175.7,5.8118,8.5052
"2022-05-09","13:30","15:40","2022-05-09",12,"Baie des Chaleurs","CCGS M. Perley","Allain; Moriyasu; JF; Ylarocque",10,2,"M",65.07,44.04,"dark orange",100,"orange","xxxxxxxxxx","multiparous",NA,NA,41,22.47,21.83,58.14,27.85,44.81,45.67,6.35,19.35,"",100.1,4.7806,5.155
