"date","tow.id","tow.number","crab.number","sampler","process","carapace.width","abdomen.width","abdomen.height","shell.condition","egg.development","egg.weight","egg.colour","gonad.colour","egg.colour.L","egg.colour.a","egg.colour.b","egg.weight.sample","egg.count.sample","egg.weight.2","egg.weight.sample.2","egg.count.sample.2","date.measured","date.counting","start.time.counting","end.time.counting","rinse.start.time","rinse.end.time","comment.egg.development","comment.rinsing","comments.cleaning"
"2019-07-14","GP313F",2,20,"Emily & Murray","Min",63.37,44.54,28.77,2,"8",2.3388,1,"orange",44.75,28.89,43.06,0.0303,528,NA,NA,NA,"2020-03-12","2020-12-23","","","10:18:00","11:27:00","","lots of loose eggs & deformed abdomen",""
"2019-07-14","GP320F",3,67,"Emily & Murray","Min",70.48,49.59,31.33,4,"3S",4.3259,1,"beige",44.73,28.97,48.08,0.0305,532,NA,NA,NA,"2020-03-06","2020-12-16","","","15:04:00","15:52:00","Irregular spotting in eggs/Dev not clear","lots of loose eggs",""
"2019-07-14","GP295F",6,61,"Emily","Min",65.3,45.61,29.08,4,"12",2.2242,3,"orange",24.15,3.87,4.17,0.0304,737,NA,NA,NA,"2020-03-02","2021-04-01","","","11:10:00","13:32:00","","lots of loose eggs","parasites"
"2019-07-14","GP273F",9,162,"Emily & Murray","Min",65.66,47.26,30.39,4,"8",4.1978,2,"orange",41.54,28.27,36.77,0.0303,480,NA,NA,NA,"2020-03-06","2020-12-16","","","14:03:00","15:28:00","","",""
"2019-07-14","GP273F",9,174,"Emily & Murray","Min",62.57,43.65,29.84,2,"8",2.1171,1,"orange",41.52,29.29,41.57,0.0303,535,NA,NA,NA,"2020-03-12","2021-01-05","","","11:08:00","13:06:00","","",""
"2019-07-15","GP250F",3,3,"Emily & Murray","Min",61.51,43.05,25.84,4,"4S",0.963,1,"beige",43.63,21.85,46.05,0.0309,570,NA,NA,NA,"2020-03-06","2020-03-12","","","15:16:00","15:55:00","Irregular spotting in eggs/Dev not clear","",""
"2019-07-15","GP208F",9,13,"Emily","",55.36,38.35,24.04,3,"8",1.5573,1,"orange",39.15,24.48,38.7,0.0307,509,NA,NA,NA,"2020-03-13","2021-03-18","","","10:50:00","14:03:00","","",""
"2019-07-15","GP207F",10,31,"Emily","Min",66.31,46.63,27.92,2,"4S",2.566,1,"orange",43.03,32.1,48.33,0.0303,506,NA,NA,NA,"2020-03-06","2020-03-11","","","14:27:00","15:36:00","Irregular spotting in eggs/Dev not clear","lots of loose eggs",""
"2019-07-16","GP249F",3,11,"Emily & Murray","Min",60.27,43.72,26.82,4,"8",2.7479,2,"orange",39.48,25.31,40.22,0.0302,507,NA,NA,NA,"2020-03-12","2021-01-04","","","08:56:00","11:35:00","","",""
"2019-07-16","GP243F",4,14,"Emily","Min",60.93,42.17,28.82,4,"8",3.1028,2,"",NA,NA,NA,0.0298,456,NA,NA,NA,"2020-03-13","2021-03-17","","","08:43:00","13:27:00","","","parasites"
"2019-07-16","GP261F",5,26,"Emily & Murray","Min",46.19,33.07,21.15,3,"3S",1.3161,1,"orange",42.92,33.96,46.99,0.0306,474,NA,NA,NA,"2020-03-06","2020-12-16","","","13:57:00","15:23:00","Irregular spotting in eggs/Dev not clear","",""
"2019-07-16","GP261F",5,76,"Emily & Murray","Min",49.56,32.37,20.61,2,"8",0.9079,1,"orange",39.82,28.98,41.66,0.0306,554,NA,NA,NA,"2020-03-06","2020-12-15","","","10:13:00","13:10:00","","",""
"2019-07-16","GP257F",6,49,"Emily","",73.46,52.05,33.78,4,"8",3.1384,2,"orange",39.06,21.34,36.48,0.0289,520,NA,NA,NA,"2020-03-02","2021-04-01","","","13:52:00","15:02:00","","","parasites"
"2019-07-16","GP257F",6,67,"Murray","Min",58.63,41.51,27.26,2,"NF",2.1148,1,"orange",46.75,31.33,52.49,0.0306,483,NA,NA,NA,"2021-03-11","2021-03-17","","","14:28:00","15:02:00","Irregular spotting in eggs; Not fertilized","","parasites"
"2019-07-16","GP278F",7,27,"Emily & Murray","Min",63.82,41.33,29.06,4,"8",3.1956,2,"orange",40.48,23.24,37.98,0.0307,538,NA,NA,NA,"2020-02-28","2020-03-10","","","13:45:00","15:15:00","","","parasites"
"2019-07-16","GP278F",7,29,"Emily","Min",52.82,35.71,21.79,2,"3S",1.0168,1,"orange",43.64,31.67,50.38,0.0305,558,NA,NA,NA,"2020-03-02","2020-03-10","","","15:13:00","16:15:00","Irregular spotting in eggs/Dev not clear","","parasites"
"2019-07-16","GP290F",9,58,"Emily & Murray","Min",54.91,35.88,23.89,3,"8",1.3036,2,"orange",38.36,28.57,34.55,0.03,554,NA,NA,NA,"2020-02-28","2020-03-10","","","14:44:00","15:42:00","","","parasites"
"2019-07-16","GP290F",9,59,"Emily","Min",56.65,36.43,25.06,2,"S",1.5466,1,"orange",44.27,35.38,51.11,0.0326,575,NA,NA,NA,"2020-03-02","2020-03-09","","","11:34:00","14:01:00","Irregular spotting in eggs/Dev not clear","",""
"2019-07-16","GP281F",12,60,"Emily & Murray","Min",54.97,38.1,25.49,2,"8",1.4266,1,"orange",39.93,27.66,42.7,0.0303,555,NA,NA,NA,"2020-02-28","2020-03-10","","","14:57:00","15:49:00","","",""
"2019-07-16","GP281F",12,85,"Emily & Murray","Min",60.47,41.79,27.79,3,"8",1.8535,1,"orange",39.48,28.85,39.98,0.0308,504,NA,NA,NA,"2020-03-02","2020-03-11","","","14:20:00","15:15:00","","lots of loose eggs",""
"2019-07-16","GP258F",13,107,"Murray","Min",49.59,35.55,22.27,2,"8",0.9281,2,"",38.39,28.82,41.8,0.0339,623,NA,NA,NA,"2021-03-10","2021-03-26","","","09:31:00","12:50:00","","",""
"2019-07-16","GP258F",13,116,"Emily","",49.97,37.7,24.03,2,"8",1.1041,1,"",NA,NA,NA,0.0302,555,NA,NA,NA,"2020-03-13","2021-03-17","","","11:19:00","13:34:00","","",""
"2019-07-16","GP247F",14,87,"Emily & Murray","Min",46.61,33.6,20.01,2,"3S",0.9149,1,"orange",46.8,28.12,54.32,0.0307,519,NA,NA,NA,"2020-03-06","2020-12-16","","","11:48:00","13:25:00","Irregular spotting in eggs/Dev not clear","",""
"2019-07-17","GP223F",1,274,"Emily & Murray","Min",52.37,36.95,21.93,2,"S",0.9738,1,"orange",45.58,29.52,51.24,0.0306,581,NA,NA,NA,"2020-03-02","2020-03-09","","","10:35:00","13:00:00","Irregular spotting in eggs/Dev not clear","","dropped"
"2019-07-17","GP223F",1,275,"Emily","Min",57.09,38.99,24.36,3,"8",1.1867,2,"orange",36.34,27.86,38.81,0.0317,611,NA,NA,NA,"2020-03-06","2020-03-12","","","10:19:00","13:13:00","","",""
"2019-07-17","GP216F",2,58,"Emily & Murray","Min",52.56,37.91,24.35,2,"8",1.3019,1,"orange",39.18,27.63,40.44,0.0309,560,NA,NA,NA,"2020-03-06","2020-12-17","","","08:55:00","13:00:00","","",""
"2019-07-17","GP216F",2,59,"Emily & Murray","Min",54.16,37.09,24.17,3,"3S",2.308,2,"beige",42.06,29.4,48.15,0.0307,473,NA,NA,NA,"2020-03-02","2020-03-11","","","14:35:00","15:19:00","Irregular spotting in eggs/Dev not clear","",""
"2019-07-17","GP195F",3,86,"Emily & Murray","Min",73.5,53.2,34.17,4,"3S",2.023,2,"white",44.98,26.7,49.77,0.0312,458,NA,NA,NA,"2020-03-02","2020-03-11","","","14:29:00","15:16:00","Irregular spotting in eggs/Dev not clear","","parasites"
"2019-07-17","GP195F",3,87,"Murray","Min",57.17,40.01,26.41,2,"NF",1.7927,1,"orange",43.15,31.5,46.97,0.029,513,NA,NA,NA,"2021-03-11","2021-03-31","","","14:13:00","14:58:00","Not fertilized","",""
"2019-07-17","GP205F",4,77,"Emily & Murray","Min",56.75,39.43,25.57,4,"8",2.6517,2,"orange",35.69,25.2,34.22,0.0316,470,NA,NA,NA,"2020-03-06","2020-12-16","","","14:12:00","15:30:00","","lots of loose eggs","parasites"
"2019-07-17","GP213F",5,131,"Emily","Min",53.73,39.07,22.68,2,"4S",1.4815,1,"orange",44.46,28.08,48.54,0.0299,489,NA,NA,NA,"2020-03-02","2020-03-10","","","15:08:00","16:11:00","Irregular spotting in eggs/Dev not clear","",""
"2019-07-17","GP213F",5,132,"Emily & Murray","Min",57.66,39.35,26.24,4,"3F",2.0634,2,"beige",41.23,27.83,46.33,0.0303,480,NA,NA,NA,"2020-02-28","2020-03-09","","","13:59:00","15:24:00","Fertilized but development not clear","","parasites"
"2019-07-17","GP228F",6,129,"Emily","Min",50.33,34.78,22.21,3,"8",1.2107,1,"orange",37.83,28.47,40.61,0.0304,543,NA,NA,NA,"2020-03-13","2021-03-18","","","11:13:00","13:39:00","","lots of loose eggs",""
"2019-07-17","GP228F",6,131,"Emily","Min",52.13,37.08,20.87,2,"4S",1.2343,1,"orange",42.05,26.56,45.99,0.0307,514,NA,NA,NA,"2020-03-13","2021-03-15","","","09:10:00","13:30:00","Irregular spotting in eggs/Dev not clear","abdomen not cut properly will affect height",""
"2019-07-17","GP242F",7,46,"Emily & Murray","Min",47.02,33.29,21.1,2,"6",0.772,2,"white",46.18,26.44,54.65,0.0304,569,NA,NA,NA,"2020-02-28","2020-03-06","","","13:52:00","15:16:00","","mushy abdomen",""
"2019-07-17","GP253F",8,170,"Emily & Murray","Min",48.21,33.3,19.39,2,"9F",0.9706,1,"beige",47.2,28.63,54.92,0.0305,581,NA,NA,NA,"2020-02-28","2020-03-09","","","14:05:00","15:29:00","Fertilized but development not clear","mushy abdomen",""
"2019-07-17","GP239A1",10,93,"Emily & Murray","Min",63.97,44.04,25.88,2,"4",2.0591,1,"white",45.36,29.06,52.93,0.0303,592,NA,NA,NA,"2020-02-28","2020-03-09","","","14:27:00","15:34:00","","",""
"2019-07-17","GP224F",11,130,"Emily & Murray","Min",50.95,35.98,23.71,2,"4",1.2559,1,"orange",46.52,30.83,54.56,0.0299,503,NA,NA,NA,"2020-03-12","2021-01-04","","","09:10:00","11:39:00","","",""
"2019-07-17","GP224F",11,132,"Emily & Murray","Min",55.28,37.67,23.98,3,"3S",2.3259,1,"orange",44.25,25,47.65,0.0305,505,NA,NA,NA,"2020-03-06","2020-12-16","","","10:39:00","13:17:00","Irregular spotting in eggs/Dev not clear","",""
"2019-07-18","GP222F",1,126,"Emily & Murray","Min",57.14,41.01,25.84,3,"3S",2.6317,1,"orange",48.1,26.64,53.66,0.0304,449,NA,NA,NA,"2020-03-06","2020-12-17","","","09:11:00","13:06:00","Irregular spotting in eggs/Dev not clear","",""
