"date.sampled","start.time","date.measured","zone","location","vessel","sampler","latitude","longitude","depth","trap","crab.number","sex","shell.condition","carapace.width","chela.height","abdomen.width","egg.colour","eggs.remaining","gonad.colour","egg.details","missing.legs","maturity","barnacles","egg.colour.l","egg.colour.a","egg.colour.b","gonad.colour.l","gonad.colour.a","gonad.colour.b","hepato.colour.l","hepato.colour.a","hepato.colour.b","comment","crab.weight","gonad.weight","hepato.weight"
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,19,"F",4,68.75,NA,48.33,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",52.11,31.66,43.99,61.47,3.43,14.98,51.28,"4.730",31.09,"Dal  Egg #55",122.3,2.3206,4.3618
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,20,"F",4,56.97,NA,40.39,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",49.21,28.6,39.67,63.41,5,20.54,44.26,"4.100",18.13,"Dal  Egg #58",70,1.1224,3.5232
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,21,"F",4,64.12,NA,43.93,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",50.99,28.43,42.24,62.03,5.14,20.94,45.9,"5.690",23.79,"Dal  Egg #61",101,1.3313,3.7107
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,22,"F",4,59.72,NA,42.16,"light orange",50,"beige","Eggs Orange Spot","**********","multiparous","",45.78,25.14,35.32,56.28,9.5,27.2,33.85,"5.290",8.96,"Dal  Egg #64",72,0.7396,3.5842
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,23,"F",4,68.63,NA,45.22,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",48.52,32.58,41.59,59.02,6.41,18.93,50.93,"8.430",33.76,"Dal  Egg #67",122.7,1.8481,6.0279
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,24,"F",4,59.51,NA,42.72,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",50.77,29.55,42.3,68.9,4.67,19.66,44.94,"3.690",22.84,"Dal  Egg #70",93.8,1.3666,4.4542
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,25,"F",4,61.95,NA,43.93,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",49.74,28.65,48.45,62.49,3.3,17.2,46.91,"5.540",21.64,"Dal  Egg #73",93,1.7308,3.7287
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,26,"F",4,65.51,NA,44.16,"light orange",90,"beige","Eggs Orange Spot","**********","multiparous","",50.02,26.31,39.65,58.32,5.9,19.4,40.37,"3.900",17.16,"Dal  Egg #76",95.7,1.6664,3.9568
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,27,"F",4,67.61,NA,47.92,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",49.02,29.68,38.65,62.5,6.86,16.77,56.76,"3.110",30.95,"Dal  Egg #79",118.8,2.7468,6.0171
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,28,"F",4,62.84,NA,43.97,"light orange",75,"beige","Eggs Orange Spot","**********","multiparous","",45.91,27.14,37.07,60.59,8.67,22.88,41.97,"5.900",19.44,"Dal  Egg #82",76.6,1.2146,4.7705
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,29,"F",4,60.54,NA,42.29,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",49.18,31.69,38.06,62.52,7.37,17.29,50.68,"3.440",24.81,"Dal  Egg #85",84.6,1.1987,3.5348
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,30,"F",4,63.85,NA,48.09,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",47.56,30.34,39.78,62.23,6.07,17.35,42.53,"4.980",19.96,"Dal  Egg #90",102.3,1.8708,4.5362
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,31,"F",4,51.49,NA,41.58,"light orange",100,"beige","Pico orange/Peu picot noir","**********","multiparous","",49.21,27.5,39.88,57.47,15.78,22,49.96,"3.830",23.28,"Dal  Egg #91",83.5,1.7047,3.675
"2018-06-16","7:30","2018-06-17",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU/K.LANDRY",4726.051,6307.9842,"76m",2,32,"F",4,65.36,NA,47.12,"light orange",100,"beige","Eggs Orange Spot","**********","multiparous","",49.21,31.19,40.22,49.07,7.25,33.11,63.01,"4.780",15.28,"Dal  Egg #94",112.6,1.9315,4.3135
