"date.sampled","start.time","date.measured","zone","location","vessel","sampler","latitude","longitude","depth","trap","crab.number","sex","shell.condition","carapace.width","chela.height","abdomen.width","egg.colour","eggs.remaining","gonad.colour","egg.details","missing.legs","maturity","barnacles","egg.colour.l","egg.colour.a","egg.colour.b","gonad.colour.l","gonad.colour.a","gonad.colour.b","hepato.colour.l","hepato.colour.a","hepato.colour.b","comment","crab.weight","gonad.weight","hepato.weight"
"2018-05-13","10:00","2018-05-14",12,"Baie-des-Chaleurs","CCGS Perley","R.ALLAIN/K.LANDRY/M.MORIYASU",4753.841,6505.007,"81m",1,28,"M",4,69.09,13.44,NA,NA,NA,NA,"","*********2","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Patte Dalhousie",130.8,NA,NA
"2018-05-13","10:00","2018-05-14",12,"Baie-des-Chaleurs","CCGS Perley","R.ALLAIN/K.LANDRY/M.MORIYASU",4753.841,6505.007,"81m",1,29,"M",4,73.92,17.69,NA,NA,NA,NA,"","*111******","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Patte Dalhousie",154.2,NA,NA
"2018-05-13","10:00","2018-05-14",12,"Baie-des-Chaleurs","CCGS Perley","R.ALLAIN/K.LANDRY/M.MORIYASU",4753.841,6505.007,"81m",1,30,"M",4,77.75,13.35,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Patte Dalhousie",193,NA,NA
"2018-05-13","10:00","2018-05-14",12,"Baie-des-Chaleurs","CCGS Perley","R.ALLAIN/K.LANDRY/M.MORIYASU",4753.841,6505.007,"81m",1,31,"M",4,74.9,17.11,NA,NA,NA,NA,"","1*1*******","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"Patte Dalhousie",166.1,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,1,"M",NA,73.09,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,2,"M",NA,82.35,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,3,"M",NA,76.39,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,4,"M",NA,92.52,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,5,"M",NA,73,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
"2018-06-11","","2018-06-12",12,"Banc Bradelle","CCGS Perley","R.ALLAIN/M.MORIYASU",4717.8314,6308.1296,"37fthm",1,6,"M",NA,89.39,NA,NA,NA,NA,NA,"","**********","multiparous","",NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA
