sampler,project,vessel,location,year,month,day,sample.number,maturity.stage,carapace.width,sex,weight,eggs,chela.height,shell.condition,missing.legs,abdomen.width,comment1,egg.weight,fecundity,comment
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,1,m,76,2,156,+,20,old,xxxxxxxxxx,53,,,83861,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,2,p,76,2,140,+,18,new,xxxxxxxxxx,49,,,60687,zone 26;Gonad ;Spermatheca
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,3,p,75,2,148,+,16,new,xxxxxxxxxx,51,,,56126,zone 26;Gonad ;Spermatheca
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,4,p,78,2,156,+,21,new,xxxxxxxxxx,51,,4.0497,59554,zone 26;Gonad ;Spermatheca
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,5,p,71,2,118,+,18,new,xxxxxxxxxx,48,,2.9497,43819,zone 26;Gonad ;Spermatheca
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,6,p,75,2,140,+,21,new-med,xxxxxxxxxx,51,,3.8166,49632,zone 26;Gonad ;Spermatheca
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,7,p,64,2,82,+,16,new,xxxxxxxxxx,42,,,32716,zone 26;Gonad ;Spermatheca
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,8,p,68,2,88,+,18,new,x11xx11xxx,46,,,38244,zone 26;Gonad ;Spermatheca
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,9,,57,2,59,-,15,new,xxxxxxxxxx,29,,,,zone 26;Gonad ;Spermatheca
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,10,p,71,2,150,+,18,med,xxxxxxxxxx,51,,5.4042,79473,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,11,p,75,2,150,+,21,med,xxxxxxxxxx,53,,,80215,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,12,p,77,2,156,+,22,med,xxxxx1xxxx,56,,6.7066,98625,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,13,p,81,2,212,+,20,med,xxxxxxxxxx,48,,4.9812,73252,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,14,p,70,2,138,+,19,med,xxxxxxxxxx,55,,4.0291,59251,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,15,p,73,2,134,+,21,med,xxxxxxxxxx,50,,5.6537,83142,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,16,p,71,2,160,+,,med,xxxxx1xxxx,48,,5.5646,81831,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,17,p,70,2,146,+,19,med,xxxxxxxxxx,48,,,61095,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,18,p,68,2,130,+,18,med,xxxxxxxxxx,48,,5.086,74793,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,19,m,73,2,132,+,19,med,xxxx11xxx1,48,,,71128,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,20,p,68,2,136,+,19,med,xxxxxxxxxx,46,,4.3208,63540,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,21,m,63,2,114,+,17,old,xxxxxxxxxx,46,,3.6305,53389,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,22,m,62,2,86,+,16,old,xxx11xxxxx,43,,,44570,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,23,,62,2,98,+,16,old,xxx1xxxxxx,42,,,,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,24,m,77,2,204,+,22,old,xxxxxxxxxx,55,,,78589,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,25,m,76,2,172,+,21,old,xxxxxxxxxx,53,,,100583,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,26,m,73,2,152,+,20,old,xxxxxxxxxx,53,,,80469,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,27,,73,2,176,+,20,old,xxxxxxxxxx,50,,,,zone 26
Mikio Moriyasu,fecundity,Opilio,PEI,1986,7,7,28,m,68,2,144,+,18,old,xxxxxxxxxx,51,,4.2341,62265,zone 26
,,,,,,,,,,,,,,,,,,,,zone 26
,,,,,,,,,,,,,,,,,,,,zone 26
,,,,,,,,,,,,,,,,,,,,zone 26
,,,,,,,,,,,,,,,,,,,,zone 26
,,,,,,,,,,,,,,,,,,,,zone 26
