sampler,project,vessel,location,year,month,day,sample.number,maturity.stage,carapace.width,sex,weight,eggs,chela.length,chela.height,shell.condition,missing.legs,abdomen.width,carapace.length,comment 1,comment2,egg.colour,egg.weight,egg.sample.count,egg.sample.weight,fecundity,percentage,comment
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,1,m,69,2,137,o,20,10,,xxxxxxxxxx,50,69,,Centre Marin Shippagan,o ,4.4926,1000,689,65204,1.53,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,2,m,69,2,131,o,19,10,,xxxxxxxxxx,49,69,,Centre Marin Shippagan,o ,5.0367,1000,686,73421,1.36,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,3,m,71,2,130,o,20,10,,xxxxxx1xxx,50,70,,Centre Marin Shippagan,o ,4.4792,1000,680,65870,1.52,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,4,m,65,2,103,o,18,9,,xxxxxx11xx,48,66,,Centre Marin Shippagan,o ,3.7541,1000,670,56031,1.79,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,5,m,68,2,124,n,16,10,,xxxx1xxxxx,49,67,,Centre Marin Shippagan,,,,,,,femelle pondait
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,6,m,63,2,102,o,16,9,,xxxxxxxxxx,45,62,,Centre Marin Shippagan,o ,4.0331,1000,687,58705,1.7,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,7,m,69,2,131,o,19,10,,xxxxxxxxxx,49,69,points blancs sur ovaire,Centre Marin Shippagan,o ,4.2843,1000,679,63097,1.59,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,8,m,68,2,117,o,18,9,,xxxxxxxxx1,47,68,,Centre Marin Shippagan,o ,4.2835,1000,735,58278,1.72,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,9,m,66,2,109,ne,19,10,,xxxx1xxxxx,47,67,,Centre Marin Shippagan,o ,,1000,,,,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,10,m,65,2,102,o,16,9,,xxxxxxxx11,44,65,,Centre Marin Shippagan,o ,2.7996,1000,624,44825,2.23,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,11,m,68,2,117,o,18,10,,xxxxxxxxxx,48,68,,Centre Marin Shippagan,o ,4.2803,1000,645,67942,1.47,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,12,m,68,2,119,o,19,9,,xxxxxxxxxx,45,67,,Centre Marin Shippagan,o ,4.2483,1000,710,59835,1.67,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,13,m,66,2,105,o,17,9,,xxxxxxxxxx,45,64,,Centre Marin Shippagan,o ,3.881,1000,705,55049,1.86,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,14,m,63,2,86,o,16,9,,x1xxxxxxxx,45,62,,Centre Marin Shippagan,o ,3.3065,1000,692,47780,2.09,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,15,m,58,2,78,o,15,8,,xxxxxxxxxx,41,60,,Centre Marin Shippagan,o ,2.1561,1000,607,35520,2.05,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,16,m,68,2,118,o,17,9,,xxxxxxxxxx,49,66,,Centre Marin Shippagan,o ,4.4771,1000,711,62969,1.59,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,17,m,74,2,150,o,18,11,,xxxxxxxxxx,54,73,,Centre Marin Shippagan,o ,5.5175,1000,702,78596,1.27,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,18,m,71,2,132,o,18,10,,xxxxxxxxx1,51,70,,Centre Marin Shippagan,o ,4.7768,1000,703,67948,1.47,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,19,m,71,2,133,n,18,10,,x1xx1xxxxx,49,68,,Centre Marin Shippagan,o ,2.965,1000,530,55943,1.79,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,20,m,72,2,146,o,19,10,,xxxxxxxxxx,54,71,,Centre Marin Shippagan,o ,3.9264,1000,727,54008,1.85,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,21,m,64,2,101,o,17,9,,xx1xxxxxxx,47,63,,Centre Marin Shippagan,o ,3.5651,1000,719,49584,1.02,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,22,m,62,2,92,o,16,9,,xxx1xxxxxx,43,61,,Centre Marin Shippagan,o ,3.1912,1000,646,43399,2.02,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,23,m,66,2,101,o,16,9,,x1xx1xxxxx,46,65,,Centre Marin Shippagan,o ,3.9897,1000,736,54207,1.85,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,24,m,69,2,137,ne,18,10,,xxxxxxxxxx,48,70,,Centre Marin Shippagan,o ,,1000,,,,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,25,m,68,2,117,o,18,10,,xxx1xxxxxx,46,67,,Centre Marin Shippagan,o ,4.4202,1000,716,61734,1.62,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,26,m,68,2,123,o,18,9,,xxxxxxxxxx,48,68,,Centre Marin Shippagan,o ,4.4928,1000,692,64924,1.54,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,27,m,78,2,123,o,18,10,,xxxxxxxxxx,49,78,,Centre Marin Shippagan,o ,4.6945,1000,683,68733,1.46,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,28,m,66,2,109,o,17,9,,xxxxxxxxxx,43,64,,Centre Marin Shippagan,o ,3.7687,1000,651,57890,1.73,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,29,m,68,2,110,o,19,10,,xxxxxx11xx,48,68,,Centre Marin Shippagan,o ,3.7021,1000,675,54845,1.82,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,30,m,71,2,125,o,19,10,,1xxx1xxxxx,53,69,,Centre Marin Shippagan,o ,4.6674,1000,707,66016,1.52,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,31,m,65,2,104,o,16,9,,x1xxxxxxxx,46,65,,Centre Marin Shippagan,o ,4.0751,1000,703,57967,1.73,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,32,m,66,2,109,o,18,9,,xx1xxxxxxx,44,65,,Centre Marin Shippagan,o ,3.3642,1000,603,55791,1.79,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,33,m,67,2,100,o,18,9,,xxxxxxxxxx,46,67,,Centre Marin Shippagan,o ,4.121,1000,704,58536,1.71,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,34,m,61,2,92,o,17,9,,xxxxxxxxxx,43,61,,Centre Marin Shippagan,o ,3.117,1000,704,44275,2.26,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,35,m,66,2,108,o,17,9,,xxxxxxxxxx,45,66,,Centre Marin Shippagan,o ,3.5388,1000,741,47757,2.09,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,36,m,70,2,133,o,19,10,,xxxxxxx1xx,48,70,,Centre Marin Shippagan,o ,4.5612,1000,732,61804,1.62,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,37,m,76,2,165,o,22,11,,x1xxxxxxxx,54,76,abdomen rouge,Centre Marin Shippagan,o ,6.5643,1000,758,86600,1.16,eggs seem different
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,38,m,64,2,92,o,18,9,,xxxxx1xxxx,,64,abdomen clair,Centre Marin Shippagan,,3.3768,1000,652,51791,1.93,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,39,p,67,2,106,o,19,10,,xxxxxxxx1x,46,65,abdomen clair,Centre Marin Shippagan,o ,4.0965,1000,681,60154,1.66,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,40,p,67,2,107,o,19,10,,xxxxxxxxxx,46,65,abdomen clair,Centre Marin Shippagan,o ,3.7682,1000,705,53449,1.87,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,41,p,66,2,96,o,17,9,,xxxxxxxxx1,47,64,abdomen clair,Centre Marin Shippagan,o ,3.4108,1000,711,47971,2.22,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,42,m,66,2,113,o,17,10,,xxx1xxxxxx,46,66,,Centre Marin Shippagan,o ,3.7837,1000,675,56054,1.78,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,43,m,74,2,133,no,20,11,,xxxxxxxxxx,50,71,,Centre Marin Shippagan,o ,,1000,,,,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,44,m,74,2,150,o,19,11,,xxxxxxxxxx,51,73,,Centre Marin Shippagan,o ,5.008,1000,681,73538,1.36,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,45,m,71,2,144,o,20,11,,xxxxxxxxxx,49,71,,Centre Marin Shippagan,o ,4.7221,1000,680,69451,1.44,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,46,m,69,2,119,o,18,10,,xxxxxxxxxx,47,66,,Centre Marin Shippagan,o ,4.1439,1000,686,60406,1.66,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,47,m,71,2,135,o,19,10,,xx1xxxxxxx,50,70,,Centre Marin Shippagan,o ,5.4333,1000,730,74428,1.35,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,48,m,71,2,129,n,18,10,,xxxxxxxxxx,49,69,eclosion commence,Centre Marin Shippagan,,,,,,,femelle pondait
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,49,m,71,2,130,o,19,10,,xxxxxxxxxx,48,70,,Centre Marin Shippagan,o,3.9715,1000,697,56979,1.76,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,50,m,67,2,93,ne,19,9,,x1xxxxxxxx,46,66,,Centre Marin Shippagan,o,,1000,,,,
Mikio Moriyasu; Pierre Mallet,Fecundity,Carlos G.,Baie des Chaleurs,1986,5,29,51,m,71,2,133,o,18,10,,xxxxxxxxxx,48,70,,Centre Marin Shippagan,o,3.9335,1000,732,53736,1.86,
