project,location,zone,Sampling location,sampler,year,month,day,sample.numbers,gear,tow or trap number,vessel,depth,latitude,longitude,comment
fecundity,Cape Breton,,,Michel Comeau; Pierre Mallet; Mikio Moriyasu; Kevin Davidson,1986,7,23,1 to 174,trawl or trap,,,,,,
fecundity,Cape Breton,,,Michel Comeau; Pierre Mallet,1986,8,13,206 to 236,Nephrops trawl,1,,,,,
fecundity,Cape Breton,,,Michel Comeau; Pierre Mallet,1986,8,13,121 to 205,Nephrops trawl,2,,,,,
fecundity,Cape Breton,,,Michel Comeau; Pierre Mallet,1986,8,13,247 to 277,beam trawl,1,,,,,
fecundity,Cape Breton,,,Michel Comeau; Pierre Mallet,1986,8,14,1 to 28,beam trawl,2,,,,,
fecundity,Prince Edward Island,,,Mikio Moriyasu,1986,5,31,73 to 216, ,,CCGS Opilio,35 fathoms,14679,29933,
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",Pierre Mallet; Mikio Moriyasu,1986,4,29,1 to 96,,,,,,,Caught during Carlos G sampling
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",Pierre Mallet,1986,7,21,1 to 227,,,,,,,
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",Michel Comeau; Pierre Mallet,1986,10,21,1 to 29,Nephrops trawl,,,46 fathoms,480148.2,644558.7,
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",Michel Comeau; Pierre Mallet; Mikio Moriyasu,1986,10,23,30 to 58,Nephrops trawl,2,,46 fathoms,,,
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",Michel Comeau; Pierre Mallet; Mikio Moriyasu,1986,10,28,repeats,Nephrops trawl,,,46 fathoms,,,
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",Michel Comeau; Pierre Mallet,1986,10,29,7 to 32,Nephrops trawl,,,,,,
fecundity,Prince Edward Island,26,,Mikio Moriyasu,1987,7,7,1 to 33,,,,,,,PEI Zone 26
fecundity,Western Bradelle Bank,,,Pierre Mallet,1987,6,24,,,,,,,,Trip avec Cyranus
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",,1987,9,23,B1-B470,,,CCGS Opilio,,,,
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",,1987,9,30,C1-C401,trawl,,CCGS Opilio,,,,Lab study? 2e journee de chalutage
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",,1987,10,5,D1-D197,trawl,,CCGS Opilio,,,,3e journee de chalutage
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",,1987,10,6,D198-420,trawl,,CCGS Opilio,,,,4e sortie?
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",,1987,10,8,E1-E110,,,CCGS Opilio,,,,5e sortie
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",,1987,10,9,F1-F177,,,CCGS Opilio,,,,
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",,1987,10,10,~120 entries,,,CCGS Opilio,,,,
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",,1987,10,12,,,,CCGS Opilio,,,,
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",,1987,10,14,K1-K73,,,CCGS Opilio,,,,
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",,1987,10,19,L1-L241,,,CCGS Opilio,,,,
fecundity,Baie-des-Chaleurs,,"Centre Marin, Shippagan",Pierre Mallet,1987,10,20,~140 entries ,,,CCGS Opilio,,,,
